Value,Feature
0.7000090987244597,nominated
0.697543269565787,interrupt
0.648692996336794,operates
0.5274654878232266,ative
0.4934662491083145,swinging
0.4859150751545916,customers
0.48211903003223444,ag
0.47674912422520777,reel
0.45004820149896907,dam
0.4096159279152995,captures
0.40834805789324224,osing
0.39272631221284593,secular
0.38762484728790075,brittany
0.38735591532611197,advocated
0.3854311873683812,disagreements
0.3789906505950418,afterwards
0.3787718672658146,corps
0.3691047475310749,cleansing
0.364848099432046,gradually
0.35913571522026955,declare
0.35479668269617726,scenario
0.3543010559424815,replaced
0.34547160658000564,predominantly
0.34511365591472465,ibn
0.34235705305851416,rosy
0.3252591452752769,bbled
0.3208831932817585,lobbying
0.31481963060159934,joe
0.3066712079581978,entity
0.3051199351798167,globally
0.3004294296792349,catholic
0.29859929940958274,gibbs
0.287412362471384,disasters
0.2820681050527958,globe
0.2783877194206232,larry
0.2738278076673653,veto
0.27108501848377065,transform
0.27080810320280363,67
0.26470640177607485,users
0.26426221851390536,extraordinary
0.25172615543342824,inclined
0.23798958754690014,bureau
0.23669816652088643,dar
0.23552345821573856,sanders
0.23552345821573856,bernie
0.23372612753673772,ouse
0.23049391083255466,parades
0.2255966099365624,campaigns
0.22252790052810908,haw
0.22252790052810908,ens
0.22252790052810906,baldwin
0.22252790052810903,plaza
0.22240776628158765,steve
0.2220450603484888,organizers
0.22135973683038085,wiped
0.21930272641443915,enlightenment
0.2184444220725002,slowly
0.21778774183079305,continues
0.21703328706139113,wonderful
0.21557584387535614,watts
0.21346990898258822,colleagues
0.21193219547642733,lord
0.20625293072850648,mill
0.20388812025206063,ecure
0.2037383041712859,testing
0.20308755603920947,conversation
0.20307923472450354,instance
0.20265442956810423,logistical
0.20035343344064016,bodies
0.19930968541392602,packing
0.19653395048350042,shoving
0.19508515720709038,eventually
0.19464494006513233,deepened
0.19402257407799528,cards
0.19383025021028,struggling
0.19365634443221022,ethnic
0.19347973549092345,extensively
0.19209148365146878,lgbt
0.19112766306373352,proof
0.1904038147086249,acknowledged
0.18986190065628672,adopting
0.18893887200656417,theme
0.18818799568699407,spouse
0.1879097119078223,26
0.1869107389248796,pilots
0.18606141986042626,400
0.18494722915064665,intra
0.1834240411758137,contrast
0.181396945760385,medium
0.17951082288500947,graduated
0.17458522811866972,47
0.1722360343079392,limp
0.1712277384381146,barack
0.17120246636322325,analyses
0.17098094331068767,jp
0.17093895320667407,sized
0.17032599432110537,moon
0.16948697021995363,timed
0.16845503887664232,soviets
0.16753625836673638,busy
0.1672623397371237,honor
0.16598388676993775,ferguson
0.16551980335210104,journalist
0.16439849339692844,warren
0.16436505852805455,genius
0.16301120462635627,hometown
0.16279848372750239,invariably
0.160947488180384,1990
0.16055885346676915,mina
0.1602270113408057,38
0.15936836428636755,je
0.15920056216441353,enterprise
0.15816645938034776,forest
0.15728602215742232,transaction
0.1571938701529128,hearted
0.15679976334392806,contemplated
0.15669246619120014,litigation
0.15589882135415511,hammer
0.15582039165620465,apostle
0.15562933386447422,1937
0.1550598917434704,headquarters
0.15471209319005352,collection
0.15457101386071867,ots
0.15350828276659045,foundations
0.15326760004461898,88
0.15292407197691374,coastline
0.15127281498150186,company
0.1511071274199137,charter
0.14809210678585455,currently
0.14647661055237218,st
0.14528099905116193,scarcely
0.14492362202128464,visitor
0.14476424667472934,lip
0.14337960074163902,fred
0.14168760268718475,clearly
0.14149906777559335,americas
0.1405093816071331,resolved
0.14026382899838366,navy
0.14016936128469654,nce
0.13966678695066537,expresses
0.1393248784653306,entrepreneurship
0.13837183421245514,user
0.13788264014502505,vu
0.1366508064375977,lid
0.13573871859628783,gue
0.1345602321716924,obtain
0.13416943085281485,loved
0.1339427120189371,plight
0.13352216375207557,sixties
0.13328861433499578,remarkable
0.13275773673044441,secondly
0.132696410383072,resolution
0.1323951100616925,leak
0.132279164712917,radar
0.1315795217101436,140
0.12994655593553167,posture
0.12970524838958783,impressive
0.12925181710978448,tens
0.12897210743765775,abc
0.12879351026287292,adherence
0.12867056186358883,dependence
0.1282986482650006,cities
0.12820729699336952,wide
0.12804517983255814,oilers
0.12795732443798527,iq
0.12681503456172605,carrying
